feature,mean_abs_shap,feature_family
numeric__assessment_submission_ratio_early,0.84050685,early_academic_progress
numeric__assessment_score_max_early,0.19413505,early_academic_progress
numeric__assessment_weighted_score_ratio_early,0.19150296,early_academic_progress
numeric__assessment_weighted_score_sum_early,0.18806183,early_academic_progress
numeric__studied_credits,0.13082007,program_setup
categorical__code_module_GGG,0.108458415,program_setup
numeric__assessment_score_min_early,0.102691226,early_academic_progress
numeric__assessment_score_mean_early,0.094834715,early_academic_progress
numeric__assessment_mean_submission_delay_early,0.09373504,early_academic_progress
numeric__vle_clicks_ouwiki_early,0.08456438,early_engagement
numeric__vle_active_days_early,0.084472924,early_engagement
numeric__vle_total_clicks_early,0.08253023,early_engagement
categorical__code_module_BBB,0.07674518,program_setup
numeric__date_registration,0.07271038,program_setup
categorical__code_presentation_2014J,0.070628785,program_setup
numeric__vle_unique_sites_early,0.05988383,early_engagement
numeric__vle_clicks_forumng_early,0.049881514,early_engagement
numeric__vle_clicks_resource_early,0.045044538,early_engagement
numeric__vle_event_count_early,0.042178225,early_engagement
numeric__early_assessment_weight_expected,0.04063693,early_academic_progress
categorical__highest_education_Lower Than A Level,0.036104206,prior_preparation
categorical__code_presentation_2013J,0.034720514,program_setup
numeric__vle_clicks_page_early,0.033866983,early_engagement
numeric__num_of_prev_attempts,0.033607427,prior_preparation
categorical__gender_F,0.033362843,demographics
numeric__module_presentation_length,0.029978517,program_setup
categorical__disability_N,0.02878932,demographics
numeric__vle_clicks_homepage_early,0.028674554,early_engagement
numeric__vle_clicks_oucontent_early,0.028015656,early_engagement
categorical__code_module_CCC,0.026345478,program_setup
categorical__region_Scotland,0.026284698,demographics
numeric__assessment_type_count_tma_early,0.02567584,early_academic_progress
numeric__assessment_score_std_early,0.025319772,early_academic_progress
numeric__vle_clicks_quiz_early,0.023505624,early_engagement
categorical__region_Wales,0.021434728,demographics
numeric__vle_clicks_dualpane_early,0.019155938,early_engagement
categorical__age_band_35-55,0.018743359,demographics
numeric__vle_clicks_subpage_early,0.018608121,early_engagement
categorical__region_East Midlands Region,0.01752259,demographics
categorical__code_module_FFF,0.017484814,program_setup
numeric__assessment_banked_count_early,0.01637009,early_academic_progress
numeric__vle_clicks_url_early,0.014848732,early_engagement
numeric__early_assessment_count_expected,0.013831939,early_academic_progress
numeric__registration_lead_days,0.0111261485,program_setup
numeric__vle_clicks_oucollaborate_early,0.01061833,early_engagement
numeric__assessment_type_count_cma_early,0.009740896,early_academic_progress
categorical__code_module_AAA,0.009368563,program_setup
numeric__vle_clicks_htmlactivity_early,0.0089487685,early_engagement
categorical__imd_band_50-60%,0.008657805,demographics
categorical__highest_education_A Level or Equivalent,0.007940832,prior_preparation
categorical__age_band_0-35,0.0077038286,demographics
categorical__gender_M,0.0075710705,demographics
categorical__code_module_DDD,0.007251604,program_setup
categorical__disability_Y,0.006689447,demographics
categorical__region_West Midlands Region,0.006684832,demographics
numeric__assessment_submission_count_early,0.0064296825,early_academic_progress
numeric__assessment_late_submission_count_early,0.0050979583,early_academic_progress
numeric__vle_clicks_externalquiz_early,0.004791549,early_engagement
categorical__region_South Region,0.0042830026,demographics
numeric__vle_clicks_glossary_early,0.0037098536,early_engagement
numeric__vle_clicks_ouelluminate_early,0.0036939713,early_engagement
categorical__code_module_EEE,0.003420445,program_setup
categorical__region_London Region,0.00302401,demographics
categorical__imd_band_20-30%,0.0028313196,demographics
numeric__vle_clicks_questionnaire_early,0.0027432996,early_engagement
categorical__code_presentation_2013B,0.0026385027,program_setup
categorical__imd_band_0-10%,0.0026293667,demographics
categorical__imd_band_60-70%,0.0022338133,demographics
categorical__imd_band_70-80%,0.0020286834,demographics
categorical__imd_band_10-20,0.0018117531,demographics
categorical__region_Ireland,0.0015268408,demographics
categorical__region_Yorkshire Region,0.0015215208,demographics
categorical__region_North Region,0.0013944324,demographics
categorical__imd_band_90-100%,0.0013086752,demographics
categorical__highest_education_HE Qualification,0.0012626975,prior_preparation
categorical__imd_band_40-50%,0.0011865477,demographics
categorical__region_South West Region,0.0011856931,demographics
categorical__region_East Anglian Region,0.0011191603,demographics
categorical__code_presentation_2014B,0.0010626742,program_setup
categorical__imd_band_30-40%,0.0010040335,demographics
categorical__region_South East Region,0.00056251895,demographics
categorical__imd_band_80-90%,0.0005588682,demographics
categorical__region_North Western Region,0.0005220741,demographics
categorical__highest_education_Post Graduate Qualification,0.00018438474,prior_preparation
categorical__age_band_55<=,0.00018407835,demographics
categorical__highest_education_No Formal quals,0.00014073911,prior_preparation
numeric__vle_clicks_dataplus_early,0.0,early_engagement
numeric__vle_clicks_repeatactivity_early,0.0,early_engagement
numeric__vle_clicks_sharedsubpage_early,0.0,early_engagement
