feature,mean_abs_shap,feature_family,cutoff_day,cohort
numeric__early_assessment_weight_expected,0.20152548,Academic progress,35,dynamic_landmark
numeric__assessment_mean_submission_delay_early,0.17232674,Academic progress,35,dynamic_landmark
numeric__assessment_score_min_early,0.13548708,Academic progress,35,dynamic_landmark
numeric__assessment_score_mean_early,0.120779894,Academic progress,35,dynamic_landmark
numeric__studied_credits,0.11767081,Program setup,35,dynamic_landmark
numeric__assessment_weighted_score_ratio_early,0.07969957,Academic progress,35,dynamic_landmark
numeric__date_registration,0.069721445,Program setup,35,dynamic_landmark
categorical__highest_education_Lower Than A Level,0.061188743,Prior preparation,35,dynamic_landmark
categorical__highest_education_A Level or Equivalent,0.060044207,Prior preparation,35,dynamic_landmark
numeric__vle_clicks_page_early,0.057443354,Engagement,35,dynamic_landmark
numeric__vle_clicks_resource_early,0.05702415,Engagement,35,dynamic_landmark
categorical__disability_N,0.05542685,Demographics,35,dynamic_landmark
numeric__vle_active_days_early,0.052324004,Engagement,35,dynamic_landmark
numeric__vle_clicks_oucontent_early,0.0522086,Engagement,35,dynamic_landmark
numeric__vle_unique_sites_early,0.05217625,Engagement,35,dynamic_landmark
categorical__code_presentation_2013J,0.049955357,Program setup,35,dynamic_landmark
numeric__vle_clicks_url_early,0.04816517,Engagement,35,dynamic_landmark
numeric__vle_clicks_quiz_early,0.046798896,Engagement,35,dynamic_landmark
numeric__vle_clicks_subpage_early,0.039263282,Engagement,35,dynamic_landmark
numeric__vle_clicks_forumng_early,0.037541527,Engagement,35,dynamic_landmark
numeric__vle_clicks_questionnaire_early,0.036907002,Engagement,35,dynamic_landmark
numeric__assessment_score_max_early,0.036891736,Academic progress,35,dynamic_landmark
categorical__code_module_BBB,0.03635387,Program setup,35,dynamic_landmark
numeric__assessment_weighted_score_sum_early,0.035986487,Academic progress,35,dynamic_landmark
numeric__vle_event_count_early,0.034395818,Engagement,35,dynamic_landmark
categorical__age_band_35-55,0.03302044,Demographics,35,dynamic_landmark
categorical__code_module_GGG,0.032005847,Program setup,35,dynamic_landmark
numeric__vle_total_clicks_early,0.030448025,Engagement,35,dynamic_landmark
numeric__vle_clicks_homepage_early,0.028763957,Engagement,35,dynamic_landmark
categorical__code_presentation_2014J,0.02767219,Program setup,35,dynamic_landmark
numeric__vle_clicks_externalquiz_early,0.026447475,Engagement,35,dynamic_landmark
numeric__module_presentation_length,0.02598938,Program setup,35,dynamic_landmark
categorical__code_module_DDD,0.025675407,Program setup,35,dynamic_landmark
numeric__vle_clicks_ouwiki_early,0.025033604,Engagement,35,dynamic_landmark
categorical__gender_F,0.024278335,Demographics,35,dynamic_landmark
categorical__code_module_AAA,0.02208647,Program setup,35,dynamic_landmark
numeric__vle_clicks_dualpane_early,0.019015517,Engagement,35,dynamic_landmark
numeric__registration_lead_days,0.017721487,Program setup,35,dynamic_landmark
categorical__age_band_0-35,0.016888468,Demographics,35,dynamic_landmark
categorical__disability_Y,0.0134598045,Demographics,35,dynamic_landmark
numeric__vle_clicks_glossary_early,0.012864639,Engagement,35,dynamic_landmark
categorical__region_London Region,0.012707033,Demographics,35,dynamic_landmark
categorical__imd_band_0-10%,0.012484847,Demographics,35,dynamic_landmark
categorical__imd_band_20-30%,0.012310032,Demographics,35,dynamic_landmark
categorical__code_presentation_2014B,0.010820206,Program setup,35,dynamic_landmark
numeric__early_assessment_count_expected,0.010305332,Academic progress,35,dynamic_landmark
categorical__imd_band_90-100%,0.010082712,Demographics,35,dynamic_landmark
numeric__num_of_prev_attempts,0.009760172,Prior preparation,35,dynamic_landmark
categorical__code_module_CCC,0.008948454,Program setup,35,dynamic_landmark
categorical__code_module_FFF,0.007521945,Program setup,35,dynamic_landmark
categorical__region_East Midlands Region,0.0073145456,Demographics,35,dynamic_landmark
categorical__imd_band_60-70%,0.0066709872,Demographics,35,dynamic_landmark
categorical__imd_band_40-50%,0.006502441,Demographics,35,dynamic_landmark
categorical__highest_education_No Formal quals,0.0051158355,Prior preparation,35,dynamic_landmark
numeric__vle_clicks_oucollaborate_early,0.0049255,Engagement,35,dynamic_landmark
categorical__region_Ireland,0.0043064994,Demographics,35,dynamic_landmark
numeric__assessment_banked_count_early,0.004292419,Academic progress,35,dynamic_landmark
categorical__region_Scotland,0.004124342,Demographics,35,dynamic_landmark
categorical__region_South Region,0.00412247,Demographics,35,dynamic_landmark
categorical__region_Yorkshire Region,0.004103969,Demographics,35,dynamic_landmark
numeric__assessment_score_std_early,0.0037861525,Academic progress,35,dynamic_landmark
categorical__region_West Midlands Region,0.0036228285,Demographics,35,dynamic_landmark
categorical__code_module_EEE,0.0035162063,Program setup,35,dynamic_landmark
numeric__assessment_type_count_cma_early,0.002918242,Academic progress,35,dynamic_landmark
categorical__imd_band_70-80%,0.0028000434,Demographics,35,dynamic_landmark
categorical__region_East Anglian Region,0.0027336304,Demographics,35,dynamic_landmark
categorical__imd_band_80-90%,0.002726812,Demographics,35,dynamic_landmark
categorical__imd_band_30-40%,0.0026107985,Demographics,35,dynamic_landmark
categorical__region_North Region,0.0025442166,Demographics,35,dynamic_landmark
numeric__assessment_submission_ratio_early,0.0024607682,Academic progress,35,dynamic_landmark
categorical__highest_education_HE Qualification,0.002239106,Prior preparation,35,dynamic_landmark
numeric__vle_clicks_ouelluminate_early,0.0020689168,Engagement,35,dynamic_landmark
categorical__region_South West Region,0.0016260301,Demographics,35,dynamic_landmark
categorical__gender_M,0.0014139675,Demographics,35,dynamic_landmark
numeric__assessment_submission_count_early,0.0012664793,Academic progress,35,dynamic_landmark
categorical__imd_band_10-20,0.0012633045,Demographics,35,dynamic_landmark
numeric__vle_clicks_htmlactivity_early,0.0012363616,Engagement,35,dynamic_landmark
categorical__code_presentation_2013B,0.0011070028,Program setup,35,dynamic_landmark
categorical__region_Wales,0.0010812731,Demographics,35,dynamic_landmark
numeric__assessment_late_submission_count_early,0.000988981,Academic progress,35,dynamic_landmark
categorical__imd_band_50-60%,0.0009266339,Demographics,35,dynamic_landmark
categorical__highest_education_Post Graduate Qualification,0.0004912669,Prior preparation,35,dynamic_landmark
categorical__region_North Western Region,0.00041646423,Demographics,35,dynamic_landmark
categorical__region_South East Region,0.00039765958,Demographics,35,dynamic_landmark
numeric__vle_clicks_repeatactivity_early,0.0,Engagement,35,dynamic_landmark
numeric__assessment_type_count_tma_early,0.0,Academic progress,35,dynamic_landmark
numeric__vle_clicks_sharedsubpage_early,0.0,Engagement,35,dynamic_landmark
numeric__vle_clicks_dataplus_early,0.0,Engagement,35,dynamic_landmark
categorical__age_band_55<=,0.0,Demographics,35,dynamic_landmark
numeric__assessment_weighted_score_ratio_early,0.22617495,Academic progress,60,dynamic_landmark
numeric__assessment_weighted_score_sum_early,0.19172499,Academic progress,60,dynamic_landmark
numeric__early_assessment_weight_expected,0.16303219,Academic progress,60,dynamic_landmark
numeric__assessment_mean_submission_delay_early,0.14103134,Academic progress,60,dynamic_landmark
numeric__assessment_score_mean_early,0.089400806,Academic progress,60,dynamic_landmark
numeric__studied_credits,0.08896793,Program setup,60,dynamic_landmark
numeric__vle_clicks_forumng_early,0.07683404,Engagement,60,dynamic_landmark
numeric__vle_clicks_ouwiki_early,0.076149434,Engagement,60,dynamic_landmark
numeric__date_registration,0.07438291,Program setup,60,dynamic_landmark
categorical__code_module_BBB,0.064379096,Program setup,60,dynamic_landmark
categorical__highest_education_A Level or Equivalent,0.062499803,Prior preparation,60,dynamic_landmark
numeric__vle_active_days_early,0.06029913,Engagement,60,dynamic_landmark
numeric__assessment_score_max_early,0.056882527,Academic progress,60,dynamic_landmark
numeric__vle_clicks_subpage_early,0.05442327,Engagement,60,dynamic_landmark
numeric__vle_clicks_quiz_early,0.05030743,Engagement,60,dynamic_landmark
numeric__early_assessment_count_expected,0.047254417,Academic progress,60,dynamic_landmark
numeric__vle_clicks_homepage_early,0.046048034,Engagement,60,dynamic_landmark
numeric__vle_clicks_url_early,0.04596304,Engagement,60,dynamic_landmark
categorical__disability_N,0.043877773,Demographics,60,dynamic_landmark
numeric__vle_clicks_resource_early,0.04332251,Engagement,60,dynamic_landmark
numeric__vle_total_clicks_early,0.041731488,Engagement,60,dynamic_landmark
numeric__vle_unique_sites_early,0.04147708,Engagement,60,dynamic_landmark
numeric__vle_event_count_early,0.038595833,Engagement,60,dynamic_landmark
numeric__assessment_score_min_early,0.038036857,Academic progress,60,dynamic_landmark
numeric__module_presentation_length,0.03536703,Program setup,60,dynamic_landmark
numeric__vle_clicks_dualpane_early,0.033997364,Engagement,60,dynamic_landmark
categorical__age_band_35-55,0.032647934,Demographics,60,dynamic_landmark
categorical__highest_education_Lower Than A Level,0.03190813,Prior preparation,60,dynamic_landmark
numeric__vle_clicks_page_early,0.03189264,Engagement,60,dynamic_landmark
numeric__vle_clicks_oucontent_early,0.030125242,Engagement,60,dynamic_landmark
categorical__code_module_GGG,0.028186746,Program setup,60,dynamic_landmark
categorical__code_presentation_2014J,0.02672395,Program setup,60,dynamic_landmark
numeric__assessment_score_std_early,0.026535433,Academic progress,60,dynamic_landmark
categorical__code_presentation_2013J,0.022575745,Program setup,60,dynamic_landmark
numeric__assessment_type_count_tma_early,0.019050252,Academic progress,60,dynamic_landmark
categorical__code_module_AAA,0.017802939,Program setup,60,dynamic_landmark
categorical__code_presentation_2014B,0.01698419,Program setup,60,dynamic_landmark
categorical__disability_Y,0.01607144,Demographics,60,dynamic_landmark
categorical__gender_F,0.014246011,Demographics,60,dynamic_landmark
numeric__assessment_submission_count_early,0.013995375,Academic progress,60,dynamic_landmark
categorical__code_presentation_2013B,0.0133259185,Program setup,60,dynamic_landmark
numeric__vle_clicks_ouelluminate_early,0.012958934,Engagement,60,dynamic_landmark
numeric__registration_lead_days,0.012302031,Program setup,60,dynamic_landmark
numeric__vle_clicks_oucollaborate_early,0.012133455,Engagement,60,dynamic_landmark
categorical__imd_band_40-50%,0.010848796,Demographics,60,dynamic_landmark
categorical__imd_band_20-30%,0.010301297,Demographics,60,dynamic_landmark
numeric__vle_clicks_glossary_early,0.010120256,Engagement,60,dynamic_landmark
categorical__imd_band_60-70%,0.009264458,Demographics,60,dynamic_landmark
categorical__imd_band_0-10%,0.009212957,Demographics,60,dynamic_landmark
numeric__vle_clicks_externalquiz_early,0.00851967,Engagement,60,dynamic_landmark
categorical__region_London Region,0.0076460186,Demographics,60,dynamic_landmark
numeric__assessment_submission_ratio_early,0.0074389735,Academic progress,60,dynamic_landmark
categorical__imd_band_70-80%,0.00738549,Demographics,60,dynamic_landmark
categorical__region_Yorkshire Region,0.0072921487,Demographics,60,dynamic_landmark
categorical__age_band_0-35,0.0067642685,Demographics,60,dynamic_landmark
numeric__vle_clicks_questionnaire_early,0.0062791253,Engagement,60,dynamic_landmark
numeric__assessment_late_submission_count_early,0.0060949614,Academic progress,60,dynamic_landmark
categorical__region_East Midlands Region,0.0056733238,Demographics,60,dynamic_landmark
categorical__imd_band_90-100%,0.0052618417,Demographics,60,dynamic_landmark
categorical__code_module_DDD,0.0051927892,Program setup,60,dynamic_landmark
categorical__gender_M,0.005132988,Demographics,60,dynamic_landmark
categorical__region_East Anglian Region,0.004748697,Demographics,60,dynamic_landmark
categorical__imd_band_80-90%,0.0045657493,Demographics,60,dynamic_landmark
categorical__code_module_CCC,0.004551022,Program setup,60,dynamic_landmark
categorical__region_Wales,0.0045194975,Demographics,60,dynamic_landmark
categorical__region_North Western Region,0.0038885418,Demographics,60,dynamic_landmark
categorical__imd_band_10-20,0.0037958694,Demographics,60,dynamic_landmark
categorical__imd_band_50-60%,0.003756728,Demographics,60,dynamic_landmark
numeric__assessment_banked_count_early,0.0037225736,Academic progress,60,dynamic_landmark
categorical__highest_education_No Formal quals,0.003627964,Prior preparation,60,dynamic_landmark
categorical__region_Scotland,0.003007169,Demographics,60,dynamic_landmark
numeric__num_of_prev_attempts,0.0029700848,Prior preparation,60,dynamic_landmark
categorical__region_South Region,0.0029018053,Demographics,60,dynamic_landmark
categorical__region_West Midlands Region,0.0026436031,Demographics,60,dynamic_landmark
categorical__imd_band_30-40%,0.0025855412,Demographics,60,dynamic_landmark
categorical__code_module_FFF,0.0024866178,Program setup,60,dynamic_landmark
categorical__region_Ireland,0.0020966611,Demographics,60,dynamic_landmark
numeric__vle_clicks_htmlactivity_early,0.0020538531,Engagement,60,dynamic_landmark
categorical__region_South East Region,0.0020531218,Demographics,60,dynamic_landmark
numeric__assessment_type_count_cma_early,0.0015081421,Academic progress,60,dynamic_landmark
categorical__highest_education_HE Qualification,0.0012872324,Prior preparation,60,dynamic_landmark
categorical__region_North Region,0.0011927037,Demographics,60,dynamic_landmark
categorical__region_South West Region,0.00088142196,Demographics,60,dynamic_landmark
categorical__code_module_EEE,0.00043819175,Program setup,60,dynamic_landmark
categorical__highest_education_Post Graduate Qualification,0.0,Prior preparation,60,dynamic_landmark
numeric__vle_clicks_dataplus_early,0.0,Engagement,60,dynamic_landmark
numeric__vle_clicks_repeatactivity_early,0.0,Engagement,60,dynamic_landmark
numeric__vle_clicks_sharedsubpage_early,0.0,Engagement,60,dynamic_landmark
categorical__age_band_55<=,0.0,Demographics,60,dynamic_landmark
numeric__assessment_weighted_score_ratio_early,0.21544296,Academic progress,75,dynamic_landmark
numeric__assessment_weighted_score_sum_early,0.16299103,Academic progress,75,dynamic_landmark
numeric__assessment_mean_submission_delay_early,0.14913665,Academic progress,75,dynamic_landmark
numeric__early_assessment_weight_expected,0.1476544,Academic progress,75,dynamic_landmark
numeric__assessment_score_min_early,0.09057229,Academic progress,75,dynamic_landmark
numeric__vle_clicks_ouwiki_early,0.088260815,Engagement,75,dynamic_landmark
numeric__vle_clicks_forumng_early,0.069858275,Engagement,75,dynamic_landmark
numeric__assessment_score_mean_early,0.06663118,Academic progress,75,dynamic_landmark
numeric__studied_credits,0.06286576,Program setup,75,dynamic_landmark
categorical__code_module_BBB,0.0627911,Program setup,75,dynamic_landmark
numeric__vle_active_days_early,0.05907447,Engagement,75,dynamic_landmark
numeric__date_registration,0.055957537,Program setup,75,dynamic_landmark
numeric__vle_clicks_homepage_early,0.052565586,Engagement,75,dynamic_landmark
numeric__vle_total_clicks_early,0.050428722,Engagement,75,dynamic_landmark
numeric__vle_clicks_quiz_early,0.049411748,Engagement,75,dynamic_landmark
categorical__highest_education_A Level or Equivalent,0.04870602,Prior preparation,75,dynamic_landmark
numeric__vle_unique_sites_early,0.045936484,Engagement,75,dynamic_landmark
numeric__module_presentation_length,0.04412057,Program setup,75,dynamic_landmark
numeric__vle_clicks_resource_early,0.043226082,Engagement,75,dynamic_landmark
numeric__assessment_score_max_early,0.042940065,Academic progress,75,dynamic_landmark
numeric__vle_clicks_subpage_early,0.042487256,Engagement,75,dynamic_landmark
numeric__assessment_score_std_early,0.039760727,Academic progress,75,dynamic_landmark
numeric__vle_clicks_oucontent_early,0.038706217,Engagement,75,dynamic_landmark
categorical__disability_N,0.038405668,Demographics,75,dynamic_landmark
numeric__assessment_submission_ratio_early,0.038304172,Academic progress,75,dynamic_landmark
numeric__vle_clicks_url_early,0.03733943,Engagement,75,dynamic_landmark
numeric__vle_event_count_early,0.037186507,Engagement,75,dynamic_landmark
numeric__vle_clicks_page_early,0.03249017,Engagement,75,dynamic_landmark
categorical__code_presentation_2013J,0.03239136,Program setup,75,dynamic_landmark
numeric__vle_clicks_dualpane_early,0.031624008,Engagement,75,dynamic_landmark
categorical__age_band_35-55,0.02803924,Demographics,75,dynamic_landmark
categorical__code_module_AAA,0.022969034,Program setup,75,dynamic_landmark
categorical__gender_F,0.022266738,Demographics,75,dynamic_landmark
categorical__highest_education_Lower Than A Level,0.022197349,Prior preparation,75,dynamic_landmark
categorical__code_module_GGG,0.021061627,Program setup,75,dynamic_landmark
categorical__imd_band_20-30%,0.01986118,Demographics,75,dynamic_landmark
numeric__assessment_type_count_cma_early,0.017921971,Academic progress,75,dynamic_landmark
numeric__registration_lead_days,0.017380772,Program setup,75,dynamic_landmark
categorical__disability_Y,0.016838687,Demographics,75,dynamic_landmark
numeric__vle_clicks_oucollaborate_early,0.016607042,Engagement,75,dynamic_landmark
categorical__imd_band_60-70%,0.014585148,Demographics,75,dynamic_landmark
categorical__code_presentation_2014J,0.01322547,Program setup,75,dynamic_landmark
numeric__assessment_type_count_tma_early,0.012609306,Academic progress,75,dynamic_landmark
categorical__age_band_0-35,0.0124684945,Demographics,75,dynamic_landmark
categorical__imd_band_40-50%,0.012325092,Demographics,75,dynamic_landmark
categorical__code_presentation_2013B,0.0107183885,Program setup,75,dynamic_landmark
numeric__assessment_late_submission_count_early,0.010700197,Academic progress,75,dynamic_landmark
categorical__code_module_CCC,0.01016046,Program setup,75,dynamic_landmark
numeric__vle_clicks_questionnaire_early,0.009676253,Engagement,75,dynamic_landmark
numeric__vle_clicks_ouelluminate_early,0.009250169,Engagement,75,dynamic_landmark
numeric__vle_clicks_glossary_early,0.0091309175,Engagement,75,dynamic_landmark
categorical__code_presentation_2014B,0.008887442,Program setup,75,dynamic_landmark
categorical__imd_band_50-60%,0.008831076,Demographics,75,dynamic_landmark
numeric__vle_clicks_externalquiz_early,0.008540607,Engagement,75,dynamic_landmark
categorical__code_module_DDD,0.007858565,Program setup,75,dynamic_landmark
categorical__region_Yorkshire Region,0.0066239624,Demographics,75,dynamic_landmark
numeric__assessment_banked_count_early,0.0064662085,Academic progress,75,dynamic_landmark
